French;English_1;English_2;Latin;FurThick;HeadBodyLen;ShoulderHeight;Weight;ChestLen;HeadHei;HeadLat;EarLen;EyeDia;TruffleWid;TruffleHei;SnoutHei;SnoutWid;ChestHigh;FrontLeg;HindLeg;HeadFron;SnoutLen
Panda geant;Giant panda;NA;Ailuropoda melanoleuca;6_?_0;135_?_4 140_?_5 160_?_20;75_?_5 90_?_20;118_?_4 85_F_5 105_M_5 100_?_20;61.1_M_6 66.9_M_7;51.6_M_6 50.4_M_7;54.8_M_6 52_M_7;14_M_6 15.7_M_7;2.7_M_6 3.1_M_7;12.4_M_6 8.6_M_7;5.7_M_6 4.8_M_7;25_M_6 24.2_M_7;21.9_M_6 14.8_M_7;42.8_M_26 47.7_M_27;69.2_M_26 66_M_27;47.2_M_26 51.6_M_27;41.8_M_26 32.4_M_27;12.7_M_26 10.3_M_27
Ours malais;Sun bear;NA;Helarctos malayanus;2_?_0;122_?_4 130_?_5;70_?_5 70_?_21;57_?_4 45_F_5 57_M_5;42.1_M_28 31_M_29;26.3_M_28 26.6_M_29;32.8_M_28 29.9_M_29;1.7_M_28 3.5_M_29;1.4_M_28 2_M_29;6_M_28 4.7_M_29;4.7_M_28 6.4_M_29;21.1_M_28 15.2_M_29 ;12.9_M_28 13.1_M_29;34.1_M_30 34.4_M_31;55.4_M_30 53.7_M_31;48.5_M_30 43.9_M_31;34.4_M_30 28.5_M_31;9.9_M_30 10.9_M_31
Ours lippu;Sloth bear;NA;Melursus ursinus;7_?_0;160_?_4 175_?_5 175_?_22;75_?_5 75_?_22;99_?_4 72_F_5 107_M_5;55.8_M_32 45.4_M_33;46.3_M_32 38.5_M_33;52.2_M_32 36.4_M_33;23.2_M_32 13.7_M_33;2.3_M_32 2.5_M_33;10.5_M_32 8.6_M_33;4.5_M_32 4.4_M_33;24_M_32 18.2_M_33;20.8_M_32 16_M_33;69.1_M_34 53.3_M_35;87.8_M_34 71.9_M_35;75.1_M_34 64.8_M_35;55.9_M_34 46.6_M_35;23.1_M_34 19.5_M_35
Ours blanc;Polar bear;NA;Thalarctos maritimus;5_?_0;200_?_4 240_?_5 225_M_20 190_F_20 230_M_23 190_F_23;145_?_5 145_M_23;375_?_4 200_F_5 475_M_5 525_M_20 515_M_23;62.5_M_36 56.1_M_37;38.5_M_36 34.5_M_37;41.9_M_36 36.6_M_37;10.1_M_36 8.7_M_37;3.4_M_36 2.8_M_37;10.9_M_36 9.4_M_37;8.2_M_36 6.3_M_37;21.4_M_36 18.1_M_37;17.3_M_36 13.8_M_37;53.8_M_38 67.9_M_39;97.4_M_38 101.3_M_39;85.6_M_38 100.5_M_39;46.3_M_38 41.5_M_39;21.6_M_38 18.5_M_39
Ours a lunettes;Spectacled bear;Andean bear;Tremarctos ornatus;6_?_0;177_?_4 160_?_5 160_?_24;75_?_5 75_?_24;123_?_4 70_F_5 137_M_5 115_M_24 75_F_24;54.2_M_40 59.5_M_41;42.3_M_40 51_M_41;54.7_M_40 52.6_M_41;11.9_M_40 14.1_M_41;2.6_M_40 3.3_M_41;7.7_M_40 10_M_41;4.9_M_40 6.3_M_41;19.1_M_40 20.6_M_41;15.5_M_40 16.3_M_41;49_M_42 44.8_M_43;65.2_M_42 59.4_M_43;70_M_42 60.7_M_43;32_M_42 29.3_M_43;12.1_M_42 11.9_M_43
Ours noir;Black bear;American black bear;Ursus americanus;5_?_0;139_?_4 165_?_5 160_?_19;85_?_5 87_?_19;111_?_4 125_F_5 142_M_5 153_?_18;44.6_M_44 48.8_M_45;32.7_M_44 35.2_M_45;29.5_M_44 34.8_M_45;9.9_M_44 9_M_45;1.5_M_44 2.3_M_45;5.2_M_44 6.2_M_45;5.1_M_44 5.2_M_45;11.7_M_44 17.8_M_45;10.1_M_44 15_M_45;42.4_M_46 49.2_M_47;62.8_M_46 74.4_M_47;54.6_M_46 67.2_M_47;28.9_M_46 38_M_47;11.3_M_46 14.4_M_47
Ours brun Europe;Eurasian brown bear;Brown bear;Ursus arctos arctos;7_?_0;148_?_4 142_?_15;120_?_5 90_?_15;165_F_5 340_M_5 135_?_15;41_M_48 38.4_M_49;32.4_M_48 25.5_M_49;35.8_M_48 27.4_M_49;7_M_48 10.3_M_49;1.8_M_48 1.9_M_49;6.4_M_48 6.7_M_49;4.8_M_48 5.5_M_49;14.1_M_48 13.7_M_49;11.7_M_48 11.7_M_49;54.6_M_50 44.4_M_51;72.4_M_50 71.5_M_51;61.6_M_50 58.2_M_51;33.7_M_50 29.7_M_51;14_M_50 11.1_M_51
Grizzli;Grizzli bear;NA;Ursus arctos horribilis;7_?_0;200_?_8 200_?_17 228_M_20;100_?_8 102_?_17 137_M_20;240_?_8 165_F_17 270_M_17 270_M_20;56.1_M_52 63.1_M_53;35.9_M_52 63.1_M_53;45.4_M_52 47_M_53;10_M_52 7.3_M_53;2_M_52 2.1_M_53;9.2_M_52 9.9_M_53;7.5_M_52 8.1_M_53;15.5_M_52 21.3_M_53;14.8_M_52 17.1_M_53;72.4_M_54 77_M_55;105.2_M_54 102.7_M_55;97.6_M_54 90.9_M_55;45.6_M_54 42.7_M_55;17.4_M_54 19.2_M_55
Ours Isabelle;Himalayan brown bear;NA;Ursus arctos isabellinus;7_?_0;185_M_9 160_F_9 155_?_25;85_?_25;135_M_10 70_F_10 136_M_25 64_F_25;49.5_M_56 48.1_M_57;42.2_M_56 38.5_M_57;43.2_M_56 44.8_M_57;11.7_M_56 12.7_M_57;2.1_M_56 2.5_M_57;7.6_M_56 8.7_M_57;6.7_M_56 8.5_M_57;15.2_M_56 19.6_M_57;13.4_M_56 16.2_M_57;67.5_M_58 56.9_M_59;97.5_M_58 89.8_M_59;73.1_M_58 78.6_M_59;43.1_M_58 38.3_M_59;18.9_M_58 16.9_M_59
Ours kodiak;Kodiak bear;NA;Ursus arctos middendorffi;7_?_0;244_?_11 300_?_16;133_?_11 152_?_16;250_F_11 450_M_11 407_?_68;92.1_M_60 86.4_M_61;57.2_M_60 61.7_M_61;62.6_M_60 67.8_M_61;15.2_M_60 13.2_M_61;3.9_M_60 4.6_M_61;12.1_M_60 15.8_M_61;11.4_M_60 10.9_M_61;26.4_M_60 31.2_M_61;21.1_M_60 22.3_M_61;89.8_M_62 109.1_M_63;131.7_M_62 166.7_M_63;125.1_M_62 120.8_M_63;60.8_M_62 75.9_M_63;28.3_M_62 32.6_M_63
Ours a collier;Asian black bear;NA;Ursus thibetanus;5_?_0;160_?_3 150_?_4 160_?_5;85_?_5;150_M_3 75_F_3 100_?_4 87_F_5 130_M_5;43.2_M_64 38.4_M_64;36.8_M_64 31.8_M_64;41_M_64 37.8_M_64;11.2_M_64 8.8_M_64;1.7_M_64 1.8_M_64;7.9_M_64 6.4_M_64;5.5_M_64 4.5_M_64;16.5_M_64 12.2_M_65;11.9_M_64 10.1_M_65;42.2_M_65 57.7_M_66;66.1_M_65 87.4_M_66;55.8_M_65 75.8_M_66;28.6_M_65 43.5_M_66;12.1_M_65 17.6_M_66